cmte_id,amndt_ind,rpt_tp,transaction_pgi,image_num,transaction_tp,entity_tp,name,city,state,zip_code,employer,occupation,transaction_dt,transaction_amt,other_id,cand_id,cand_name,cand_pty_affil,cand_office,tran_id,file_num,memo_cd,memo_text,sub_id
C00725820,N,30R,P2024,202102049425015900,24A,ORG,SUMMIT STRATEGIC COMMUNICATIONS LLC,PARK CITY,UT,840987502,NA,NA,01082021,6585,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,500089221,1498464,NA,NA,4020620211121398e3
C00725820,N,30R,P2024,202102049425015900,24A,ORG,SHUTTERSTOCK,NEW YORK,NY,101182100,NA,NA,01082021,1937,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,500089243,1498464,NA,NA,4020620211121398e3
C00749101,N,30R,P2024,202102049425073820,24A,ORG,"GRASSROOTS MEDIA, LLC",BALA CYNWYD,PA,19004,NA,NA,01252021,1088,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,SE.6413,1498608,NA,NA,4022420211188852700
C00250068,N,M2,P2022,2.0210216942780282e+17,24K,CCM,GRAVES FOR CONGRESS,KANSAS CITY,MO,64108,NA,NA,01152021,2500,C00359034,H0MO06073,"GRAVES, SAMUEL B. JR.",REP,H,SB23.10876,1500007,NA,NA,4021920211158862e3
C00448696,N,M2,P2024,202102199428655870,24E,ORG,ALLIANCE STRATEGIES GROUP INC.,BOCA RATON,FL,334871358,NA,NA,01192021,25750,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,E1D4AFC8D036444288D3,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655870,24E,ORG,ALLIANCE STRATEGIES GROUP INC.,BOCA RATON,FL,334871358,NA,NA,01192021,51500,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,E112BC37CF0A6440B944,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655870,24E,ORG,ALLIANCE STRATEGIES GROUP INC.,BOCA RATON,FL,334871358,NA,NA,01192021,51500,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,E1FC4DDF89BC045D5B56,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655900,24E,ORG,RIGHT COUNTRY LISTS,ALEXANDRIA,VA,223143109,NA,NA,01202021,25900,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,E989F53EC66FD426987D,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655870,24E,ORG,RIGHT COUNTRY LISTS,ALEXANDRIA,VA,223143109,NA,NA,01192021,25900,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,EA65313AA5C8848F587A,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655900,24E,ORG,ALLIANCE STRATEGIES GROUP INC.,BOCA RATON,FL,334871358,NA,NA,01192021,51500,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,E1A9777C69EDB405B980,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655900,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,01142021,1948,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,EE6D34444197A449FBF5,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655900,24E,ORG,TMA DIRECT,RESTON,VA,201905952,NA,NA,01282021,48081,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,E51E879942FDC4CD39E8,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655900,24E,ORG,ALLIANCE STRATEGIES GROUP INC.,BOCA RATON,FL,334871358,NA,NA,01202021,51500,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,EEA33A6E7131643D5BD2,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655900,24E,ORG,ALLIANCE STRATEGIES GROUP INC.,BOCA RATON,FL,334871358,NA,NA,01202021,51500,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,E4C4F982122044C9B856,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655900,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,01202021,12703,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,ED429BE22576B420CB2F,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655900,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,01282021,609,S8MO00160,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,E984F19FC7EB9456094F,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,G2024,202102199428653400,24K,CCM,JOSH HAWLEY FOR SENATE,CHESTERFIELD,MO,63005,NA,NA,01142021,5000,C00652727,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",REP,S,B6A8689042D6A49FC8C3,1501126,NA,NA,4022320211164085e3
C00000885,N,M2,P2022,2.0210218942831958e+17,24K,CCM,CLEAVER FOR CONGRESS,KANSAS CITY,MO,64141,NA,NA,01252021,5000,C00395848,H4MO05234,"CLEAVER II, EMANUEL",DEM,H,45600275,1500572,NA,CONTRIBUTION,4022620211189801e3
C00147173,N,M2,P2020,202102179428314560,24K,CCM,JASON SMITH FOR CONGRESS,CAPE GIRARDEAU,MO,63702,NA,NA,01312021,-2000,C00541862,H4MO08162,"SMITH, JASON T",REP,H,45623729,1500506,NA,VOID - JASON SMITH FOR CONGRESS-ISSUED 2/3/20,4022620211189800400
C00147173,N,M2,P2020,202102179428314560,24K,CCM,GRAVES FOR CONGRESS,KANSAS CITY,MO,64108,NA,NA,01312021,-1124,C00359034,H0MO06073,"GRAVES, SAMUEL B. JR.",REP,H,45623742,1500506,NA,VOID - GRAVES FOR CONGRESS-ISSED 5/15/20,4022620211189800400
C00147173,N,M2,G2020,202102179428314560,24K,CCM,GRAVES FOR CONGRESS,KANSAS CITY,MO,64108,NA,NA,01312021,-1124,C00359034,H0MO06073,"GRAVES, SAMUEL B. JR.",REP,H,45623743,1500506,NA,VOID - GRAVES FOR CONGRESS-ISSUED 4/21/20,4022620211189800400
